Scheme,NAV
BNP PARIBAS Corporate Bond Fund - Regular Plan - Quarterly-Income Distribution cum Capital Withdrawal Option,10.4092
BNP PARIBAS CORPORATE BOND FUND ANNUAL Income Distribution cum Capital Withdrawal OPTION,11.0692
BNP PARIBAS CORPORATE BOND FUND GROWTH OPTION,22.1852
BNP PARIBAS CORPORATE BOND FUND MONTHLY Income Distribution cum Capital Withdrawal OPTION,10.2647
BNP PARIBAS CORPORATE BOND FUND QUARTERLY Income Distribution cum Capital Withdrawal OPTION,10.3595
Canara Robeco Mutual Fund,
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,18.6383
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.3442
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,17.8024
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.8056
DSP Mutual Fund,
DSP Corporate Bond Fund - Direct - Growth,13.1242
DSP Corporate Bond Fund - Direct - IDCW,11.3746
DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.454
DSP Corporate Bond Fund - Direct - IDCW - Quarterly,11.1374
DSP Corporate Bond Fund - Regular - Growth,13.0182
DSP Corporate Bond Fund - Regular - IDCW,11.3375
DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.4355
DSP Corporate Bond Fund - Regular - IDCW - Quarterly,10.5076
Franklin Templeton Mutual Fund,
Franklin India Corporate Debt Fund - Direct - Bonus,0
Franklin India Corporate Debt Fund - Direct - GROWTH,84.4056
Franklin India Corporate Debt Fund - Growth,79.4933
Franklin India Corporate Debt Fund - Monthly Bonus,0
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,17.8139
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,19.4807
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,15.2272
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,17.1109
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,14.309
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,13.5988
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,15.6505
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,13.0525
HDFC Mutual Fund,
HDFC Corporate Bond Fund - Growth Option,25.8696
HDFC Corporate Bond Fund - Growth Option - Direct Plan,26.1867
HDFC Corporate Bond Fund - IDCW Option,17.5951
HDFC Corporate Bond Fund - IDCW Option - Direct Plan,17.9729
HDFC Corporate Bond Fund - Quarterly IDCW Option,10.5081
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.4102
HSBC Mutual Fund,
HSBC Corporate Bond Fund - Direct Plan - Growth,10.5538
HSBC Corporate Bond Fund - Regular Plan - Growth,10.5034
HSBC Corporate Bond Fund Direct Half Yearly IDCW,10.2727
HSBC Corporate Bond Fund Direct Monthly IDCW,10.1924
